--------- beginning of main
07-26 20:18:58.899 19189 19332 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:58.904 19189 19332 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:18:58.908 19189 19332 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:58.911 19189 19332 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:58.914 19189 19332 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:58.915 19189 19332 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:58.915 19189 19332 I LAT     : ========================================================
07-26 20:19:03.981 19189 19230 I LAT     : ===== LATENCY LOG [T+810s | N=3976] =====
07-26 20:19:03.985 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:19:03.989 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:19:03.993 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:19:03.995 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:19:03.997 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:19:03.999 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:19:03.999 19189 19230 I LAT     : ========================================================
07-26 20:19:09.063 19189 19334 I LAT     : ===== LATENCY LOG [T+815s | N=4001] =====
07-26 20:19:09.067 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:19:09.072 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:19:09.077 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:19:09.080 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:19:09.082 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:19:09.084 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:19:09.084 19189 19334 I LAT     : ========================================================
07-26 20:19:14.148 19189 19230 I LAT     : ===== LATENCY LOG [T+820s | N=4026] =====
07-26 20:19:14.154 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:19:14.158 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:19:14.162 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:19:14.164 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
